FullName,LastFirst,EmployeeNo,PercentMissed,VotingPercent,VotingGrade,SponsorPercent,CombinedPercent,CombinedGrade,Link
Rep. Herbert Vadney (R),"Vadney, Herbert",377184,6.1,86.6,B+,0,86.6,B+,http://gcm.io/Legislator/377184
Rep. John Martin (R),"Martin, John",377248,7.1,86.3,B+,0,86.3,B+,http://gcm.io/Legislator/377248
Rep. Joe Duarte (R),"Duarte, Joe",376933,16.3,84.9,B+,1.1,86,B+,http://gcm.io/Legislator/376933
Rep. Raymond Howard (R),"Howard, Raymond",377237,14.3,86,B+,0,86,B+,http://gcm.io/Legislator/377237
Rep. Valerie Fraser (R),"Fraser, Valerie",377227,0,85.5,B+,0.3,85.8,B+,http://gcm.io/Legislator/377227
Rep. James Parison (R),"Parison, James",376999,28.6,83.6,B+,2.2,85.8,B+,http://gcm.io/Legislator/376999
Rep. David Bates (R),"Bates, David",376794,0,88.7,A-,-3.2,85.5,B+,http://gcm.io/Legislator/376794
Rep. J. Tracy Emerick (R),"Emerick, J. Tracy",377094,0,84.9,B+,0,84.9,B+,http://gcm.io/Legislator/377094
Rep. Jeffrey Harris (R),"Harris, Jeffrey",377114,0,84.9,B+,0,84.9,B+,http://gcm.io/Legislator/377114
Rep. Michael Brewster (R),"Brewster, Michael",377208,12.2,84.7,B+,0,84.7,B+,http://gcm.io/Legislator/377208
Rep. Brian Chirichiello (R),"Chirichiello, Brian",376917,14.3,84.7,B+,0,84.7,B+,http://gcm.io/Legislator/376917
Rep. Bruce Hodgdon (R),"Hodgdon, Bruce",377122,11.2,84.7,B+,0,84.7,B+,http://gcm.io/Legislator/377122
Rep. Yvonne Dean-Bailey (R),"Dean-Bailey, Yvonne",377284,13.3,84.4,B+,0,84.4,B+,http://gcm.io/Legislator/377284
Rep. Edith Hogan (R),"Hogan, Edith",376716,2,83.6,B+,0.8,84.4,B+,http://gcm.io/Legislator/376716
Rep. Bart Fromuth (R),"Fromuth, Bart",377229,41.8,79.3,B,4.8,84.1,B+,http://gcm.io/Legislator/377229
Rep. Robert Graham (R),"Graham, Robert",377324,5.1,84.1,B+,0,84.1,B+,http://gcm.io/Legislator/377324
Rep. Allen Cook (R),"Cook, Allen",377216,7.1,83.9,B+,0,83.9,B+,http://gcm.io/Legislator/377216
Rep. Susan DeLemus (R),"DeLemus, Susan",376930,22.4,83.3,B+,0.5,83.8,B+,http://gcm.io/Legislator/376930
Rep. William Gannon (R),"Gannon, William",377231,2,83.1,B+,0,83.1,B+,http://gcm.io/Legislator/377231
Rep. John Potucek (R),"Potucek, John",377257,0,81.2,B+,1.9,83.1,B+,http://gcm.io/Legislator/377257
Rep. Dennis Green (R),"Green, Dennis",377777,7.1,82.8,B+,0,82.8,B+,http://gcm.io/Legislator/377777
Rep. Russell Ober (R),"Ober, Russell",376506,24.5,82.8,B+,0,82.8,B+,http://gcm.io/Legislator/376506
Rep. Bill Ohm (R),"Ohm, Bill",376994,1,82.8,B+,0,82.8,B+,http://gcm.io/Legislator/376994
Rep. Gary Hopper (R),"Hopper, Gary",376353,10.2,82,B+,0,82,B+,http://gcm.io/Legislator/376353
Rep. Douglas Long (R),"Long, Douglas",377247,19.4,81.2,B+,0.5,81.7,B+,http://gcm.io/Legislator/377247
Rep. Linda Gould (R),"Gould, Linda",377299,1,81.2,B+,0.3,81.5,B+,http://gcm.io/Legislator/377299
Rep. Steven Beaudoin (R),"Beaudoin, Steven",377067,33.7,80.9,B+,0,80.9,B+,http://gcm.io/Legislator/377067
Rep. Harold French (R),"French, Harold",377228,7.1,80.4,B+,0.3,80.7,B+,http://gcm.io/Legislator/377228
Rep. Skip Rollins (R),"Rollins, Skip",377163,0,80.6,B+,0,80.6,B+,http://gcm.io/Legislator/377163
Rep. Timothy Twombly (R),"Twombly, Timothy",377045,16.3,79.8,B,0,79.8,B,http://gcm.io/Legislator/377045
Rep. Peter Spanos (R),"Spanos, Peter",377263,4.1,79.3,B,0,79.3,B,http://gcm.io/Legislator/377263
Rep. Nick Zaricki (R),"Zaricki, Nick",377278,39.8,78.2,B,1.1,79.3,B,http://gcm.io/Legislator/377278
Rep. Kyle Tasker (R),"Tasker, Kyle",377038,76.5,79.2,Inc,0,79.2,Inc,http://gcm.io/Legislator/377038
Rep. Douglas Thomas (R),"Thomas, Douglas",377267,4.1,77.7,B,1.1,78.8,B,http://gcm.io/Legislator/377267
Rep. Richard Gordon (R),"Gordon, Richard",377104,21.4,78.2,B,0,78.2,B,http://gcm.io/Legislator/377104
Rep. Katherine Prudhomme-O'Brien (R),"Prudhomme-O'Brien, Katherine",377258,9.2,77.7,B,0,77.7,B,http://gcm.io/Legislator/377258
Rep. Don Leeman (R),"Leeman, Don",377246,14.3,77,B,0.5,77.5,B,http://gcm.io/Legislator/377246
Rep. Catherine Cheney (R),"Cheney, Catherine",377213,4.1,76.3,B,1.1,77.4,B,http://gcm.io/Legislator/377213
Rep. Werner Horn (R),"Horn, Werner",377236,0,76.9,B,0.5,77.4,B,http://gcm.io/Legislator/377236
Rep. Claire Rouillard (R),"Rouillard, Claire",377260,6.1,76.9,B,0.5,77.4,B,http://gcm.io/Legislator/377260
Rep. Gregory Smith (R),"Smith, Gregory",377262,19.4,76.9,B,0.5,77.4,B,http://gcm.io/Legislator/377262
Rep. James Coffey (R),"Coffey, James",376918,18.4,76.1,B,1.1,77.2,B,http://gcm.io/Legislator/376918
Rep. Carolyn Halstead (R),"Halstead, Carolyn",377301,31.6,76.9,B,0,76.9,B,http://gcm.io/Legislator/377301
Rep. Barbara Biggie (R),"Biggie, Barbara",377207,2,75.8,B,0.8,76.6,B,http://gcm.io/Legislator/377207
Rep. Frank Byron (R),"Byron, Frank",377078,1,76.6,B,0,76.6,B,http://gcm.io/Legislator/377078
Rep. Elizabeth Edwards (D),"Edwards, Elizabeth",377294,17.3,72.3,B-,4.3,76.6,B,http://gcm.io/Legislator/377294
Rep. George Hurt (R),"Hurt, George",376008,20.4,76.1,B,-0.5,75.6,B,http://gcm.io/Legislator/376008
Rep. Pamela Tucker (R),"Tucker, Pamela",376878,37.8,75.3,B,0.3,75.6,B,http://gcm.io/Legislator/376878
Rep. Kenneth Weyler (R),"Weyler, Kenneth",374470,0,73.1,B,2.2,75.3,B,http://gcm.io/Legislator/374470
Rep. Ted Wright (R),"Wright, Ted",377194,33.7,74.5,B,0.5,75,B,http://gcm.io/Legislator/377194
Rep. Glenn Cordelli (R),"Cordelli, Glenn",377085,0,75.3,B,-0.5,74.8,B,http://gcm.io/Legislator/377085
Rep. Edmond Gionet (R),"Gionet, Edmond",376464,3.1,75.3,B,-1.3,74,B,http://gcm.io/Legislator/376464
Rep. Carl Seidel (R),"Seidel, Carl",376864,20.4,71,B-,3,74,B,http://gcm.io/Legislator/376864
Rep. Peter Hansen (R),"Hansen, Peter",376944,17.3,73.9,B,0,73.9,B,http://gcm.io/Legislator/376944
Rep. Joseph Lachance (R),"Lachance, Joseph",377305,5.1,83.3,B+,-9.7,73.6,B,http://gcm.io/Legislator/377305
Rep. John Mullen (R),"Mullen, John",377149,6.1,72.6,B-,-0.3,72.3,B-,http://gcm.io/Legislator/377149
Rep. John Hunt (R),"Hunt, John",372375,1,75,B,-3,72,B-,http://gcm.io/Legislator/372375
Rep. Shari LeBreche (R),"LeBreche, Shari",377306,19.4,71.8,B-,0,71.8,B-,http://gcm.io/Legislator/377306
Rep. Walter Kolodziej (R),"Kolodziej, Walter",376829,22.4,71.2,B-,0,71.2,B-,http://gcm.io/Legislator/376829
Rep. Carol Bush (R),"Bush, Carol",377211,39.8,70.7,B-,0,70.7,B-,http://gcm.io/Legislator/377211
Rep. Stephen Darrow (R),"Darrow, Stephen",377217,0,70.4,B-,0,70.4,B-,http://gcm.io/Legislator/377217
Rep. Russell Dumais (R),"Dumais, Russell",377221,5.1,70.2,B-,0,70.2,B-,http://gcm.io/Legislator/377221
Rep. Thomas Laware (R),"Laware, Thomas",376965,0,69.9,B-,0.3,70.2,B-,http://gcm.io/Legislator/376965
Rep. Joe Sweeney (R),"Sweeney, Joe",377174,30.6,70.2,B-,0,70.2,B-,http://gcm.io/Legislator/377174
Rep. Brian Gallagher (R),"Gallagher, Brian",377230,5.1,70.4,B-,-0.5,69.9,B-,http://gcm.io/Legislator/377230
Rep. Peter Varney (R),"Varney, Peter",377271,46.9,69.9,B-,0,69.9,B-,http://gcm.io/Legislator/377271
Rep. Lynne Ober (R),"Ober, Lynne",376609,28.6,69.4,B-,0.3,69.7,B-,http://gcm.io/Legislator/376609
Rep. Joanne Ward (R),"Ward, Joanne",377048,1,72.8,B-,-3.2,69.6,B-,http://gcm.io/Legislator/377048
Rep. James Belanger (R),"Belanger, James",376904,2,68.3,B-,0.5,68.8,B-,http://gcm.io/Legislator/376904
Rep. Barbara Griffin (R),"Griffin, Barbara",377233,9.2,68.8,B-,0,68.8,B-,http://gcm.io/Legislator/377233
Rep. Frank McCarthy (R),"McCarthy, Frank",376980,9.2,69.9,B-,-1.1,68.8,B-,http://gcm.io/Legislator/376980
Rep. Robert Introne (R),"Introne, Robert",376356,18.4,68.8,B-,-0.3,68.5,B-,http://gcm.io/Legislator/376356
Rep. Donald McClarren (R),"McClarren, Donald",376981,49,68.3,B-,0,68.3,B-,http://gcm.io/Legislator/376981
Rep. Beverly Ferrante (R),"Ferrante, Beverly",376810,10.2,67.7,B-,0,67.7,B-,http://gcm.io/Legislator/376810
Rep. Robert Fisher (R),"Fisher, Robert",377225,64.3,67.7,Inc,0,67.7,Inc,http://gcm.io/Legislator/377225
Rep. Larry Gagne (R),"Gagne, Larry",376814,6.1,67.7,B-,0,67.7,B-,http://gcm.io/Legislator/376814
Rep. Jason Parent (R),"Parent, Jason",377254,55.1,67.5,Inc,0,67.5,Inc,http://gcm.io/Legislator/377254
Rep. James Webb (R),"Webb, James",377050,14.3,67.7,B-,-0.3,67.4,B-,http://gcm.io/Legislator/377050
Rep. William O'Brien (R),"O'Brien, William",376610,52,66.1,Inc,1.1,67.2,Inc,http://gcm.io/Legislator/376610
Rep. Dick Marston (R),"Marston, Dick",377140,26.5,66.7,C+,0,66.7,C+,http://gcm.io/Legislator/377140
Rep. Amanda Bouldin (D),"Bouldin, Amanda",377283,62.2,65.3,Inc,1.3,66.6,Inc,http://gcm.io/Legislator/377283
Rep. Francis Chase (R),"Chase, Francis",377212,23.5,66.1,C+,0,66.1,C+,http://gcm.io/Legislator/377212
Rep. Frederick Rice (R),"Rice, Frederick",377011,5.1,66.1,C+,0,66.1,C+,http://gcm.io/Legislator/377011
Rep. Phyllis Katsakiores (R),"Katsakiores, Phyllis",332247,15.3,65.9,C+,0,65.9,C+,http://gcm.io/Legislator/332247
Rep. Robert Knowles (R),"Knowles, Robert",377243,58.2,65.9,Inc,0,65.9,Inc,http://gcm.io/Legislator/377243
Rep. Shawn Sweeney (R),"Sweeney, Shawn",377175,68.4,65.5,Inc,0.3,65.8,Inc,http://gcm.io/Legislator/377175
Rep. David Lundgren (R),"Lundgren, David",376972,62.2,65.1,Inc,0,65.1,Inc,http://gcm.io/Legislator/376972
Rep. Lisa Scontsas (R),"Scontsas, Lisa",377022,62.2,64.5,Inc,0.5,65,Inc,http://gcm.io/Legislator/377022
Rep. David Danielson (R),"Danielson, David",377089,4.1,65.6,C+,-1.1,64.5,C+,http://gcm.io/Legislator/377089
Rep. Mark Proulx (R),"Proulx, Mark",377007,9.2,62.1,C+,2.2,64.3,C+,http://gcm.io/Legislator/377007
Rep. Michele Peckham (R),"Peckham, Michele",377002,13.3,64.2,C+,0,64.2,C+,http://gcm.io/Legislator/377002
Rep. Duane Brown (R),"Brown, Duane",377210,39.8,62.9,C+,1.1,64,C+,http://gcm.io/Legislator/377210
Rep. Joshua Whitehouse (R),"Whitehouse, Joshua",377273,73.5,62.1,Inc,1.9,64,Inc,http://gcm.io/Legislator/377273
Rep. John O'Connor (R),"O'Connor, John",376993,7.1,63.2,C+,0.5,63.7,C+,http://gcm.io/Legislator/376993
Rep. Jeffrey Oligny (R),"Oligny, Jeffrey",376996,70.4,63.2,Inc,0.5,63.7,Inc,http://gcm.io/Legislator/376996
Rep. Stephen Stepanek (R),"Stepanek, Stephen",376528,69.4,62.4,Inc,0.5,62.9,Inc,http://gcm.io/Legislator/376528
Rep. Neal Kurk (R),"Kurk, Neal",372821,22.4,62.1,C+,0.5,62.6,C+,http://gcm.io/Legislator/372821
Rep. Peggy McCarthy (R),"McCarthy, Peggy",377250,12.2,62.9,C+,-0.5,62.4,C+,http://gcm.io/Legislator/377250
Rep. Brad Bailey (R),"Bailey, Brad",377065,39.8,62.1,C+,0,62.1,C+,http://gcm.io/Legislator/377065
Rep. David Bickford (R),"Bickford, David",376083,6.1,61.6,C+,0.5,62.1,C+,http://gcm.io/Legislator/376083
Rep. Anthony Pellegrino (R),"Pellegrino, Anthony",376848,3.1,62.1,C+,0,62.1,C+,http://gcm.io/Legislator/376848
Rep. Daniel Donovan (R),"Donovan, Daniel",376932,25.5,61.8,C+,0,61.8,C+,http://gcm.io/Legislator/376932
Rep. Mary Allen (R),"Allen, Mary",376426,32.7,61.6,C+,0,61.6,C+,http://gcm.io/Legislator/376426
Rep. Fred Doucette (R),"Doucette, Fred",377220,37.8,61.6,C+,0,61.6,C+,http://gcm.io/Legislator/377220
Rep. Kathleen Souza (R),"Souza, Kathleen",376395,38.8,60.5,C+,1.1,61.6,C+,http://gcm.io/Legislator/376395
Rep. Robert Luther (R),"Luther, Robert",376973,70.4,59.2,Inc,2.2,61.4,Inc,http://gcm.io/Legislator/376973
Rep. Thomas Walsh (R),"Walsh, Thomas",377187,22.4,62.6,C+,-1.3,61.3,C+,http://gcm.io/Legislator/377187
Rep. Laurence Rappaport (R),"Rappaport, Laurence",376854,44.9,60.8,C+,0.3,61.1,C+,http://gcm.io/Legislator/376854
Rep. Jeffrey Shackett (R),"Shackett, Jeffrey",377024,50,61,Inc,0,61,Inc,http://gcm.io/Legislator/377024
Rep. Patrick Abrami (R),"Abrami, Patrick",376897,0,60.8,C+,0,60.8,C+,http://gcm.io/Legislator/376897
Rep. Rio Tilton (R),"Tilton, Rio",377323,9.2,60.8,C+,0,60.8,C+,http://gcm.io/Legislator/377323
Rep. Terry Wolf (R),"Wolf, Terry",377275,3.1,60.8,C+,0,60.8,C+,http://gcm.io/Legislator/377275
Rep. William Goulette (R),"Goulette, William",377232,80.6,58.3,Inc,2.2,60.5,Inc,http://gcm.io/Legislator/377232
Rep. David Welch (R),"Welch, David",330795,0,59.7,C,0.8,60.5,C+,http://gcm.io/Legislator/330795
Rep. John Balcom (R),"Balcom, John",376302,3.1,62.6,C+,-2.7,59.9,C,http://gcm.io/Legislator/376302
Rep. Sherman Packard (R),"Packard, Sherman",375453,16.3,64.8,C+,-5.1,59.7,C,http://gcm.io/Legislator/375453
Rep. Robert Nigrello (R),"Nigrello, Robert",377155,4.1,59.4,C,0,59.4,C,http://gcm.io/Legislator/377155
Rep. Donald LeBrun (R),"LeBrun, Donald",376966,2,60.2,C+,-1.3,58.9,C,http://gcm.io/Legislator/376966
Rep. Daniel Tamburello (R),"Tamburello, Daniel",377037,86.7,55.4,Inc,3.5,58.9,Inc,http://gcm.io/Legislator/377037
Rep. Franklin Sterling (R),"Sterling, Franklin",376871,28.6,57.5,C,1.1,58.6,C,http://gcm.io/Legislator/376871
Rep. Robert Rowe (R),"Rowe, Robert",376192,13.3,57.8,C,0,57.8,C,http://gcm.io/Legislator/376192
Rep. Arthur Barnes (R),"Barnes, Arthur",377206,1,57.3,C,0,57.3,C,http://gcm.io/Legislator/377206
Rep. Chris Christensen (R),"Christensen, Chris",376314,12.2,57.5,C,-0.5,57,C,http://gcm.io/Legislator/376314
Rep. Rick Ladd (R),"Ladd, Rick",376832,6.1,61.6,C+,-4.6,57,C,http://gcm.io/Legislator/376832
Rep. Mark McConkey (R),"McConkey, Mark",376495,6.1,57,C,0,57,C,http://gcm.io/Legislator/376495
Rep. Ken Peterson (R),"Peterson, Ken",377312,5.1,60.8,C+,-3.8,57,C,http://gcm.io/Legislator/377312
Rep. Andre Martel (R),"Martel, Andre",376247,74.5,56.7,Inc,0,56.7,Inc,http://gcm.io/Legislator/376247
Rep. Franklin Tilton (R),"Tilton, Franklin",376632,3.1,56.7,C,0,56.7,C,http://gcm.io/Legislator/376632
Rep. Richard Barry (R),"Barry, Richard",376711,38.8,56.5,C,0,56.5,C,http://gcm.io/Legislator/376711
Rep. G. Thomas Cardon (R),"Cardon, G. Thomas",377286,3.1,56.5,C,0,56.5,C,http://gcm.io/Legislator/377286
Rep. Carlos Gonzalez (R),"Gonzalez, Carlos",376341,54.1,56.2,Inc,0,56.2,Inc,http://gcm.io/Legislator/376341
Rep. Phillip Straight (R),"Straight, Phillip",377173,49,56.2,C,0,56.2,C,http://gcm.io/Legislator/377173
Rep. Mary Griffin (R),"Griffin, Mary",376126,0,55.9,C,0,55.9,C,http://gcm.io/Legislator/376126
Rep. John Sytek (R),"Sytek, John",375692,7.1,55.9,C,0,55.9,C,http://gcm.io/Legislator/375692
Rep. Andrew Christie (R),"Christie, Andrew",374900,13.3,55.9,C,-0.3,55.6,C,http://gcm.io/Legislator/374900
Rep. John Manning (R),"Manning, John",376492,44.9,55.4,C,0,55.4,C,http://gcm.io/Legislator/376492
Rep. Harold Parker (R),"Parker, Harold",377255,15.3,55.9,C,-0.5,55.4,C,http://gcm.io/Legislator/377255
Rep. Joseph Guthrie (R),"Guthrie, Joseph",376127,20.4,55.1,C,0,55.1,C,http://gcm.io/Legislator/376127
Rep. Erin Hennessey (R),"Hennessey, Erin",377235,24.5,54.8,C,0.3,55.1,C,http://gcm.io/Legislator/377235
Rep. Bill Nelson (R),"Nelson, Bill",377154,11.2,55.1,C,0,55.1,C,http://gcm.io/Legislator/377154
Rep. David Milz (R),"Milz, David",377147,11.2,54.8,C,0,54.8,C,http://gcm.io/Legislator/377147
Rep. Steven Smith (R),"Smith, Steven",377031,3.1,57,C,-2.2,54.8,C,http://gcm.io/Legislator/377031
Rep. Jack Flanagan (R),"Flanagan, Jack",376936,31.6,54,C,0.3,54.3,C,http://gcm.io/Legislator/376936
Rep. Robert Haefner (R),"Haefner, Robert",376721,7.1,54.3,C,0,54.3,C,http://gcm.io/Legislator/376721
Rep. Carolyn Matthews (R),"Matthews, Carolyn",377249,0,54.3,C,0,54.3,C,http://gcm.io/Legislator/377249
Rep. David Russell (R),"Russell, David",376294,51,54.3,Inc,0,54.3,Inc,http://gcm.io/Legislator/376294
Rep. Debra DeSimone (R),"DeSimone, Debra",376807,24.5,53.8,C,0.3,54.1,C,http://gcm.io/Legislator/376807
Rep. Steven Woitkun (R),"Woitkun, Steven",377274,33.7,54,C,0,54,C,http://gcm.io/Legislator/377274
Rep. Betsy McKinney (R),"McKinney, Betsy",331314,31.6,53,C,0.5,53.5,C,http://gcm.io/Legislator/331314
Rep. Charles McMahon (R),"McMahon, Charles",376498,19.4,53.5,C,0,53.5,C,http://gcm.io/Legislator/376498
Rep. Gene Chandler (R),"Chandler, Gene",370346,21.4,52.4,C,0.8,53.2,C,http://gcm.io/Legislator/370346
Rep. Robert Fesh (R),"Fesh, Robert",375842,35.7,53.2,C,0,53.2,C,http://gcm.io/Legislator/375842
Rep. James Gray (R),"Gray, James",377107,0,54.3,C,-1.1,53.2,C,http://gcm.io/Legislator/377107
Rep. William Infantine (R),"Infantine, William",376479,30.6,53.2,C,0,53.2,C,http://gcm.io/Legislator/376479
Rep. Lars Christiansen (R),"Christiansen, Lars",376105,18.4,51.9,C,1.1,53,C,http://gcm.io/Legislator/376105
Rep. James Devine (R),"Devine, James",376750,0,53.2,C,-0.3,52.9,C,http://gcm.io/Legislator/376750
Rep. Peter Silva (R),"Silva, Peter",376865,98,52.7,Inc,0,52.7,Inc,http://gcm.io/Legislator/376865
Rep. Norman Major (R),"Major, Norman",376087,33.7,52.2,C,0.3,52.5,C,http://gcm.io/Legislator/376087
Rep. Barry Palmer (R),"Palmer, Barry",376997,14.3,52.4,C,0,52.4,C,http://gcm.io/Legislator/376997
Rep. Stephen Schmidt (R),"Schmidt, Stephen",377019,11.2,55.6,C,-3.2,52.4,C,http://gcm.io/Legislator/377019
Rep. Ronald Belanger (R),"Belanger, Ronald",375963,72.4,52.2,Inc,0,52.2,Inc,http://gcm.io/Legislator/375963
Rep. William Friel (R),"Friel, William",377099,28.6,52.2,C,0,52.2,C,http://gcm.io/Legislator/377099
Rep. Benjamin Tilton (D),"Tilton, Benjamin",377317,0,51.6,C,0.5,52.1,C,http://gcm.io/Legislator/377317
Rep. Thomas Katsiantonis (D),"Katsiantonis, Thomas",376541,89.8,51.3,Inc,0,51.3,Inc,http://gcm.io/Legislator/376541
Rep. John Tholl (R),"Tholl, John",376168,4.1,51.3,C,0,51.3,C,http://gcm.io/Legislator/376168
Rep. Kathleen Hoelzel (R),"Hoelzel, Kathleen",373860,0,51.6,C,-0.5,51.1,C,http://gcm.io/Legislator/373860
