EmployeeNumber,NoPartyName,Name,Grade/Atten,Grade,RoundPercent,RawPercent,IncDer,% Missed,TermServed%,VotesInOffice,Presiding?
377175,"Sweeney, Shawn","Sweeney, Shawn (R)",Inc,B,68,67.5675675675676,Inc,60,100,50,0
376635,"Ulery, Jordan","Ulery, Jordan (R)",B,B,68,67.5675675675676,,48,100,50,0
376966,"LeBrun, Donald","LeBrun, Donald (R)",B-,B-,66,65.7657657657658,,0,100,50,0
376865,"Silva, Peter","Silva, Peter (R)",Inc,B-,65,65.3153153153153,Inc,60,100,50,0
377271,"Varney, Peter","Varney, Peter (R)",B-,B-,65,64.8648648648649,,16,100,50,0
376904,"Belanger, James","Belanger, James (R)",B-,B-,65,64.8648648648649,,0,100,50,0
377250,"McCarthy, Peggy","McCarthy, Peggy (R)",B-,B-,64,64.4144144144144,,12,100,50,0
377089,"Danielson, David","Danielson, David (R)",B-,B-,64,63.963963963964,,4,100,50,0
376105,"Christiansen, Lars","Christiansen, Lars (R)",B-,B-,64,63.5135135135135,,8,100,50,0
376972,"Lundgren, David","Lundgren, David (R)",B-,B-,64,63.5135135135135,,42,100,50,0
377207,"Biggie, Barbara","Biggie, Barbara (R)",B-,B-,64,63.5135135135135,,4,100,50,0
377246,"Leeman, Don","Leeman, Don (R)",B-,B-,63,63.0630630630631,,0,100,50,0
377260,"Rouillard, Claire","Rouillard, Claire (R)",B-,B-,63,63.0630630630631,,0,100,50,0
377024,"Shackett, Jeffrey","Shackett, Jeffrey (R)",B-,B-,62,62.1621621621622,,16,100,50,0
375963,"Belanger, Ronald","Belanger, Ronald (R)",B-,B-,62,61.7117117117117,,6,100,50,0
377206,"Barnes, Arthur","Barnes, Arthur (R)",B-,B-,61,61.2612612612613,,2,100,50,0
376426,"Allen, Mary","Allen, Mary (R)",B-,B-,61,61.2612612612613,,0,100,50,0
376356,"Introne, Robert","Introne, Robert (R)",B-,B-,61,61.2612612612613,,4,100,50,0
332247,"Katsakiores, Phyllis","Katsakiores, Phyllis (R)",B-,B-,61,60.8108108108108,,28,100,50,0
376008,"Hurt, George","Hurt, George (R)",B-,B-,61,60.8108108108108,,12,100,50,0
376930,"DeLemus, Susan","DeLemus, Susan (R)",Der,B-,61,60.8108108108108,Der,82,100,50,0
377312,"Peterson, Ken","Peterson, Ken (R)",B-,B-,61,60.8108108108108,,4,100,50,0
376609,"Ober, Lynne","Ober, Lynne (R)",B-,B-,60,60.3603603603604,,28,100,50,0
376814,"Gagne, Larry","Gagne, Larry (R)",B-,B-,60,60.3603603603604,,0,100,50,0
377022,"Scontsas, Lisa","Scontsas, Lisa (R)",C+,C+,59,59.4594594594595,,28,100,50,0
377233,"Griffin, Barbara","Griffin, Barbara (R)",C+,C+,59,59.009009009009,,10,100,50,0
377048,"Ward, Joanne","Ward, Joanne (R)",C+,C+,58,58.1081081081081,,12,100,50,0
376810,"Ferrante, Beverly","Ferrante, Beverly (R)",C+,C+,58,58.1081081081081,,4,100,50,0
377099,"Friel, William","Friel, William (R)",C+,C+,58,57.6576576576577,,46,100,50,0
376126,"Griffin, Mary","Griffin, Mary (R)",C+,C+,58,57.6576576576577,,0,100,50,0
375842,"Fesh, Robert","Fesh, Robert (R)",C+,C+,57,57.2072072072072,,2,100,50,0
376993,"O'Connor, John","O'Connor, John (R)",C+,C+,57,56.7567567567568,,0,100,50,0
377050,"Webb, James","Webb, James (R)",C+,C+,56,56.3063063063063,,6,100,50,0
377174,"Sweeney, Joe","Sweeney, Joe (R)",Inc,C+,56,56.3063063063063,Inc,62,100,50,0
376498,"McMahon, Charles","McMahon, Charles (R)",C+,C+,56,55.8558558558559,,14,100,50,0
377275,"Wolf, Terry","Wolf, Terry (R)",C+,C+,55,55.4054054054054,,2,100,50,0
377274,"Woitkun, Steven","Woitkun, Steven (R)",C+,C+,55,55.4054054054054,,8,100,50,0
370346,"Chandler, Gene","Chandler, Gene (R)",C+,C+,55,54.954954954955,,6,100,50,0
376871,"Sterling, Franklin","Sterling, Franklin (R)",C+,C+,55,54.5045045045045,,12,100,50,0
376711,"Barry, Richard","Barry, Richard (R)",C+,C+,55,54.5045045045045,,18,100,50,0
376332,"Flanders, Donald","Flanders, Donald (R)",Der,C+,54,54.0540540540541,Der,78,100,50,0
372821,"Kurk, Neal","Kurk, Neal (R)",C+,C+,54,53.6036036036036,,12,100,50,0
376479,"Infantine, William","Infantine, William (R)",C+,C+,54,53.6036036036036,,22,100,50,0
377212,"Chase, Francis","Chase, Francis (R)",C+,C+,53,53.1531531531532,,12,100,50,0
330795,"Welch, David","Welch, David (R)",C+,C+,53,53.1531531531532,,4,100,50,0
377147,"Milz, David","Milz, David (R)",C+,C+,53,53.1531531531532,,32,100,50,0
376495,"McConkey, Mark","McConkey, Mark (R)",C+,C+,53,53.1531531531532,,0,100,50,0
377187,"Walsh, Thomas","Walsh, Thomas (R)",C+,C+,53,52.7027027027027,,26,100,50,0
376302,"Balcom, John","Balcom, John (R)",C+,C+,53,52.7027027027027,,4,100,50,0
372375,"Hunt, John","Hunt, John (R)",C,C,52,52.2522522522522,,4,100,50,0
376819,"Hagan, Joseph","Hagan, Joseph (R)",C,C,52,51.8018018018018,,24,100,50,0
376247,"Martel, Andre","Martel, Andre (R)",C,C,52,51.8018018018018,,28,100,50,0
376294,"Russell, David","Russell, David (R)",Der,C,52,51.8018018018018,Der,90,100,50,0
377226,"Fothergill, John","Fothergill, John (R)",C,C,52,51.8018018018018,,8,100,50,0
376997,"Palmer, Barry","Palmer, Barry (R)",C,C,52,51.8018018018018,,14,100,50,0
376897,"Abrami, Patrick","Abrami, Patrick (R)",C,C,51,51.3513513513513,,0,100,50,0
376127,"Guthrie, Joseph","Guthrie, Joseph (R)",C,C,51,51.3513513513513,,6,100,50,0
375453,"Packard, Sherman","Packard, Sherman (R)",C,C,51,50.9009009009009,,2,100,50,6
377000,"Parsons, Robbie","Parsons, Robbie (R)",Der,C,50,50,Der,76,94,47,0
373332,"Jasper, Shawn","Jasper, Shawn (R)",Speaker,C,50,50,Speaker,12,100,50,44
376541,"Katsiantonis, Thomas","Katsiantonis, Thomas (D)",Der,C,50,49.5495495495495,Der,76,100,50,0
376266,"Priestley, Anne","Priestley, Anne (R)",Inc,C,50,49.5495495495495,Inc,68,100,50,0
376314,"Christensen, Chris","Christensen, Chris (R)",C,C,50,49.5495495495495,,4,100,50,0
377178,"Takesian, Charlene","Takesian, Charlene (R)",C,C,49,49.0990990990991,,8,100,50,0
377002,"Peckham, Michele","Peckham, Michele (R)",Inc,C,49,49.0990990990991,Inc,54,100,50,0
331314,"McKinney, Betsy","McKinney, Betsy (R)",C,C,49,49.0990990990991,,6,100,50,0
376936,"Flanagan, Jack","Flanagan, Jack (R)",Inc,C,49,48.6486486486487,Inc,52,100,50,0
376807,"DeSimone, Debra","DeSimone, Debra (R)",C,C,49,48.6486486486487,,6,100,50,0
377107,"Gray, James","Gray, James (R)",C,C,49,48.6486486486487,,2,100,50,0
377155,"Nigrello, Robert","Nigrello, Robert (R)",C,C,48,48.1981981981982,,8,100,50,0
376192,"Rowe, Robert","Rowe, Robert (R)",C,C,48,48.1981981981982,,6,100,50,0
376514,"Richardson, Herbert","Richardson, Herbert (R)",C,C,48,48.1981981981982,,8,100,50,0
376857,"Rokas, Ted","Rokas, Ted (D)",Der,C,48,48.1981981981982,Der,78,100,50,0
376632,"Tilton, Franklin","Tilton, Franklin (R)",C,C,48,47.7477477477478,,0,100,50,0
374900,"Christie, Andrew","Christie, Andrew (R)",C,C,47,47.2972972972973,,12,100,50,0
375955,"Hess, David","Hess, David (R)",C,C,47,47.2972972972973,,14,100,50,0
376087,"Major, Norman","Major, Norman (R)",C,C,47,46.8468468468468,,10,100,50,0
376848,"Pellegrino, Anthony","Pellegrino, Anthony (R)",C,C,47,46.8468468468468,,0,100,50,0
376901,"Azarian, Gary","Azarian, Gary (R)",C-,C-,46,46.3963963963964,,6,100,50,0
377154,"Nelson, Bill","Nelson, Bill (R)",C-,C-,46,46.3963963963964,,4,100,50,0
377031,"Smith, Steven","Smith, Steven (R)",C-,C-,46,46.3963963963964,,4,100,50,0
376823,"Hinch, Richard","Hinch, Richard (R)",C-,C-,46,45.945945945946,,0,100,50,0
369207,"Fields, Dennis","Fields, Dennis (R)",C-,C-,46,45.945945945946,,0,100,50,0
376831,"Kotowski, Frank","Kotowski, Frank (R)",C-,C-,45,45.045045045045,,2,100,50,0
376879,"Umberger, Karen","Umberger, Karen (R)",C-,C-,45,45.045045045045,,22,100,50,0
376744,"Elliott, Robert","Elliott, Robert (R)",C-,C-,45,45.045045045045,,4,100,50,0
375692,"Sytek, John","Sytek, John (R)",C-,C-,45,45.045045045045,,12,100,50,0
376625,"Sanders, Elisabeth","Sanders, Elisabeth (R)",C-,C-,45,44.5945945945946,,32,100,50,0
377220,"Doucette, Fred","Doucette, Fred (R)",C-,C-,45,44.5945945945946,,12,100,50,0
377255,"Parker, Harold","Parker, Harold (R)",C-,C-,44,44.1441441441441,,0,100,50,0
377138,"Mann, John","Mann, John (D)",Der,C-,44,44.1441441441441,Der,74,100,50,0
376832,"Ladd, Rick","Ladd, Rick (R)",C-,C-,44,44.1441441441441,,0,100,50,0
376492,"Manning, John","Manning, John (R)",C-,C-,44,43.6936936936937,,38,100,50,0
377087,"Crawford, Karel","Crawford, Karel (R)",C-,C-,44,43.6936936936937,,34,100,50,0
376341,"Gonzalez, Carlos","Gonzalez, Carlos (R)",C-,C-,44,43.6936936936937,,12,100,50,0
376328,"Emerson, Susan","Emerson, Susan (R)",C-,C-,43,43.2432432432432,,10,100,50,0
377317,"Tilton, Benjamin","Tilton, Benjamin (D)",C-,C-,43,43.2432432432432,,0,100,50,0
377108,"Grenier, James","Grenier, James (R)",C-,C-,43,43.2432432432432,,4,100,50,0
377173,"Straight, Phillip","Straight, Phillip (R)",C-,C-,42,42.3423423423423,,2,100,50,0
376721,"Haefner, Robert","Haefner, Robert (R)",C-,C-,42,42.3423423423423,,2,100,50,0
373860,"Hoelzel, Kathleen","Hoelzel, Kathleen (R)",C-,C-,42,42.3423423423423,,0,100,50,0
377019,"Schmidt, Stephen","Schmidt, Stephen (R)",C-,C-,41,41.4414414414414,,4,100,50,0
376168,"Tholl, John","Tholl, John (R)",C-,C-,41,40.5405405405405,,12,100,50,0
374801,"Baroody, Benjamin","Baroody, Benjamin (D)",Der,C-,40,40.0900900900901,Der,80,100,50,0
377007,"Proulx, Mark","Proulx, Mark (R)",C-,C-,40,39.6396396396396,,0,100,50,0
376954,"Johnsen, Gladys","Johnsen, Gladys (D)",Der,D+,39,39.1891891891892,Der,72,100,50,0
377266,"Sweeney, Dennis","Sweeney, Dennis (R)",Der,D+,39,38.7387387387387,Der,76,76,38,0
377249,"Matthews, Carolyn","Matthews, Carolyn (R)",D+,D+,39,38.7387387387387,,0,100,50,0
376750,"Devine, James","Devine, James (R)",D+,D+,39,38.7387387387387,,4,100,50,0
376619,"Roberts, Kris","Roberts, Kris (D)",D+,D+,38,38.2882882882883,,38,100,50,0
376657,"Jeudy, Jean","Jeudy, Jean (D)",Inc,D+,38,37.8378378378378,Inc,54,100,50,0
377073,"Brown, Rebecca","Brown, Rebecca (D)",Inc,D+,36,36.4864864864865,Inc,56,100,50,0
376336,"Gargasz, Carolyn","Gargasz, Carolyn (R)",D+,D+,36,36.4864864864865,,28,100,50,0
377103,"Gardner, Janice","Gardner, Janice (D)",D+,D+,36,35.5855855855856,,48,100,50,0
376392,"Shaw, Barbara","Shaw, Barbara (D)",D+,D+,36,35.5855855855856,,40,100,50,0
376550,"Beaulieu, Jane","Beaulieu, Jane (D)",D+,D+,36,35.5855855855856,,28,100,50,0
377071,"Booras, Efstathia","Booras, Efstathia (D)",D+,D+,35,35.1351351351351,,28,100,50,0
376591,"Kidder, David","Kidder, David (R)",D+,D+,35,35.1351351351351,,6,100,50,0
375965,"Berube, Roger","Berube, Roger (D)",D+,D+,35,34.6846846846847,,44,100,50,0
376605,"Moody, Marcia","Moody, Marcia (D)",Inc,D+,35,34.6846846846847,Inc,62,100,50,0
377286,"Cardon, G. Thomas","Cardon, G. Thomas (R)",D+,D+,34,34.2342342342342,,0,100,50,0
376532,"Theberge, Robert","Theberge, Robert (D)",D+,D+,34,34.2342342342342,,18,100,50,0
377057,"Irwin, Virginia","Irwin, Virginia (D)",D+,D+,33,32.8828828828829,,24,100,50,0
377256,"Pierce, David","Pierce, David (R)",D,D,32,32.4324324324324,,0,100,50,0
376544,"Converse, Larry","Converse, Larry (D)",D,D,32,32.4324324324324,,0,100,50,0
376705,"Forest, Armand","Forest, Armand (D)",D,D,31,30.6306306306306,,20,100,50,0
377157,"O'Hearne, Andrew","O'Hearne, Andrew (D)",D,D,30,29.7297297297297,,34,100,50,0
377282,"Bordenet, John","Bordenet, John (D)",D,D,30,29.7297297297297,,0,100,50,0
377159,"Piper, Wendy","Piper, Wendy (D)",D,D,29,28.8288288288288,,0,100,50,0
377311,"Pearson, William","Pearson, William (D)",D,D,29,28.8288288288288,,16,100,50,0
377300,"Guerette, C. Lee","Guerette, C. Lee (D)",D,D,29,28.8288288288288,,22,100,50,0
377285,"Brown, Chris","Brown, Chris (D)",D,D,27,27.4774774774775,,20,100,50,0
377183,"Turcotte, Alan","Turcotte, Alan (D)",D,D,27,27.027027027027,,0,100,50,0
376769,"Sprague, Dale","Sprague, Dale (D)",D,D,27,27.027027027027,,8,100,50,0
377290,"DiFranco, Debbie","DiFranco, Debbie (D)",D,D,27,26.5765765765766,,16,100,50,0
376166,"Smith, Marjorie","Smith, Marjorie (D)",D,D,27,26.5765765765766,,26,100,50,0
377141,"Massimilla, Linda","Massimilla, Linda (D)",D-,D-,26,26.1261261261261,,6,100,50,0
376893,"Rice, Chip","Rice, Chip (D)",D-,D-,26,26.1261261261261,,20,100,50,0
377135,"Ley, Douglas","Ley, Douglas (D)",D-,D-,26,25.6756756756757,,30,100,50,0
377310,"Oxenham, Lee","Oxenham, Lee (D)",D-,D-,25,25.2252252252252,,18,100,50,0
375846,"French, Barbara","French, Barbara (D)",D-,D-,25,25.2252252252252,,6,100,50,0
376931,"Deloge, Helen","Deloge, Helen (D)",D-,D-,25,25.2252252252252,,14,100,50,0
376674,"Hatch, William","Hatch, William (D)",D-,D-,25,25.2252252252252,,28,100,50,0
377018,"Schmidt, Andrew","Schmidt, Andrew (D)",D-,D-,25,25.2252252252252,,6,100,50,0
376564,"Cilley, Jacalyn","Cilley, Jacalyn (D)",D-,D-,25,24.7747747747748,,16,100,50,0
377313,"Roberts, Carol","Roberts, Carol (D)",D-,D-,25,24.7747747747748,,12,100,50,0
