FullName,LastFirst,FirstName,LastName,Party,County,District,FormattedDistrict,EmployeeNo,InOfficeCount,PossibleVoteCount,CorrectVoteCount,IncorrectVoteCount,AbsenceCount,PresidingCount,MaxLegislatorScore,RawScore,PercentMissed,VotingPercent,VotingGrade,SponsorRawScore,Sponsor % Boost,CombinedPercent,CombinedGrade,** Reformatted for document->,Name,Voting %,Sponsor,Grade
Rep. Kimberly Rice (R),"Rice, Kimberly",Kimberly,Rice,R,Hillsborough,37,Hillsborough-37,377259,85,85,60,8,17,0,256,208,20,81.3,B+,0,0.0,81.3,B+,,"Rice, Kimberly",81.3,0.0,B+
Rep. Natalie Wells (R),"Wells, Natalie",Natalie,Wells,R,Merrimack,25,Merrimack-25,408382,85,85,64,17,4,0,256,207.5,4.7,81.1,B+,0,0.0,81.1,B+,,"Wells, Natalie",81.1,0.0,B+
Rep. James Spillane (R),"Spillane, James",James,Spillane,R,Rockingham,2,Rockingham-2,377264,85,85,50,4,31,0,256,199,36.5,77.7,B,5.16666679084301,2.0,79.7,B,,"Spillane, James",77.7,5.2,B
Rep. Steven Beaudoin (R),"Beaudoin, Steven",Steven,Beaudoin,R,Strafford,9,Strafford-9,377067,85,85,57,7,21,0,256,203.5,24.7,79.5,B,0.33333334326744,0.1,79.6,B,,"Beaudoin, Steven",79.5,0.3,B
Rep. Walter Kolodziej (R),"Kolodziej, Walter",Walter,Kolodziej,R,Rockingham,7,Rockingham-7,376829,85,85,62,12,11,0,256,202.5,12.9,79.1,B,0,0.0,79.1,B,,"Kolodziej, Walter",79.1,0.0,B
Rep. Marc Abear (R),"Abear, Marc",Marc,Abear,R,Belknap,2,Belknap-2,408256,85,85,67,17,1,0,256,201,1.2,78.5,B,1.33333337306976,0.5,79,B,,"Abear, Marc",78.5,1.3,B
Rep. Frank Sapareto (R),"Sapareto, Frank",Frank,Sapareto,R,Rockingham,6,Rockingham-6,376188,85,85,57,14,14,0,256,199,16.5,77.7,B,2.66666674613952,1.0,78.7,B,,"Sapareto, Frank",77.7,2.7,B
Rep. Matthew Spencer (R),"Spencer, Matthew",Matthew,Spencer,R,Strafford,18,Strafford-18,408445,85,85,63,18,4,0,256,198.5,4.7,77.5,B,0,0.0,77.5,B,,"Spencer, Matthew",77.5,0.0,B
Rep. Kevin Verville (R),"Verville, Kevin",Kevin,Verville,R,Rockingham,2,Rockingham-2,408388,85,85,50,5,30,0,256,195,35.3,76.2,B,2.83333331346511,1.1,77.3,B,,"Verville, Kevin",76.2,2.8,B
Rep. Timothy Lang (R),"Lang, Timothy",Timothy,Lang,R,Belknap,4,Belknap-4,407925,85,85,59,21,5,0,256,191,5.9,74.6,B,3.3333334326744,1.3,75.9,B,,"Lang, Timothy",74.6,3.3,B
Rep. Frank McCarthy (R),"McCarthy, Frank",Frank,McCarthy,R,Carroll,2,Carroll-2,376980,85,85,59,18,8,0,256,194,9.4,75.8,B,0,0.0,75.8,B,,"McCarthy, Frank",75.8,0.0,B
Rep. Linda Gould (R),"Gould, Linda",Linda,Gould,R,Hillsborough,7,Hillsborough-7,377299,85,85,62,17,6,0,256,194,7.1,75.8,B,-0.666666656732559,-0.3,75.5,B,,"Gould, Linda",75.8,-0.7,B
Rep. Bill Ohm (R),"Ohm, Bill",Bill,Ohm,R,Hillsborough,36,Hillsborough-36,376994,85,85,51,18,16,0,256,178,18.8,69.5,B-,14.333333492279,5.6,75.1,B,,"Ohm, Bill",69.5,14.3,B
Rep. Bart Fromuth (R),"Fromuth, Bart",Bart,Fromuth,R,Hillsborough,7,Hillsborough-7,377229,85,85,43,2,40,0,256,192,47.1,75,B,0,0.0,75,B,,"Fromuth, Bart",75,0.0,B
Rep. Allen Cook (R),"Cook, Allen",Allen,Cook,R,Rockingham,11,Rockingham-11,377216,85,85,52,14,19,0,256,188.5,22.4,73.6,B,0,0.0,73.6,B,,"Cook, Allen",73.6,0.0,B
Rep. Carl Seidel (R),"Seidel, Carl",Carl,Seidel,R,Hillsborough,28,Hillsborough-28,376864,85,85,57,22,6,0,256,186,7.1,72.7,B-,2.00000005960464,0.8,73.5,B,,"Seidel, Carl",72.7,2.0,B
Rep. Skip Rollins (R),"Rollins, Skip",Skip,Rollins,R,Sullivan,6,Sullivan-6,377163,85,85,58,25,2,0,256,187.5,2.4,73.2,B,0,0.0,73.2,B,,"Rollins, Skip",73.2,0.0,B
Rep. J. Tracy Emerick (R),"Emerick, J. Tracy",J. Tracy,Emerick,R,Rockingham,21,Rockingham-21,377094,85,85,62,23,0,0,256,189,0,73.8,B,-2,-0.8,73,B,,"Emerick, J. Tracy",73.8,-2.0,B
Rep. Werner Horn (R),"Horn, Werner",Werner,Horn,R,Merrimack,2,Merrimack-2,377236,85,85,57,25,3,0,256,185,3.5,72.3,B-,1.1666667163372,0.5,72.8,B-,,"Horn, Werner",72.3,1.2,B-
Rep. Claire Rouillard (R),"Rouillard, Claire",Claire,Rouillard,R,Hillsborough,6,Hillsborough-6,377260,85,85,58,26,1,0,256,182,1.2,71.1,B-,4,1.6,72.7,B-,,"Rouillard, Claire",71.1,4.0,B-
Rep. Larry Gagne (R),"Gagne, Larry",Larry,Gagne,R,Hillsborough,13,Hillsborough-13,376814,85,85,60,25,0,0,256,184,0,71.9,B-,1.66666662693023,0.7,72.6,B-,,"Gagne, Larry",71.9,1.7,B-
Rep. Robert Fesh (R),"Fesh, Robert",Robert,Fesh,R,Rockingham,6,Rockingham-6,375842,85,85,55,18,12,0,256,185.5,14.1,72.5,B-,0,0.0,72.5,B-,,"Fesh, Robert",72.5,0.0,B-
Rep. David Murotake (R),"Murotake, David",David,Murotake,R,Hillsborough,32,Hillsborough-32,377151,85,85,38,2,45,0,256,183.5,52.9,71.7,Inc,2,0.8,72.5,Inc,,"Murotake, David",71.7,2.0,Inc
Rep. Valerie Fraser (R),"Fraser, Valerie",Valerie,Fraser,R,Belknap,1,Belknap-1,377227,85,85,40,8,37,0,256,186,43.5,72.7,B-,-1.16666662693023,-0.5,72.2,B-,,"Fraser, Valerie",72.7,-1.2,B-
Rep. Kathleen Souza (R),"Souza, Kathleen",Kathleen,Souza,R,Hillsborough,43,Hillsborough-43,376395,85,85,50,14,21,0,256,181,24.7,70.7,B-,3.5,1.4,72.1,B-,,"Souza, Kathleen",70.7,3.5,B-
Rep. Thomas Laware (R),"Laware, Thomas",Thomas,Laware,R,Sullivan,8,Sullivan-8,376965,85,85,60,25,0,0,256,184,0,71.9,B-,0,0.0,71.9,B-,,"Laware, Thomas",71.9,0.0,B-
Rep. Peter Varney (R),"Varney, Peter",Peter,Varney,R,Belknap,5,Belknap-5,377271,85,85,49,15,21,0,256,183.5,24.7,71.7,B-,0,0.0,71.7,B-,,"Varney, Peter",71.7,0.0,B-
Rep. Duane Brown (R),"Brown, Duane",Duane,Brown,R,Grafton,16,Grafton-16,377210,85,85,49,14,22,0,256,183,25.9,71.5,B-,0,0.0,71.5,B-,,"Brown, Duane",71.5,0.0,B-
Rep. Richard Lascelles (R),"Lascelles, Richard",Richard,Lascelles,R,Hillsborough,20,Hillsborough-20,408331,85,85,60,24,1,0,256,183,1.2,71.5,B-,0,0.0,71.5,B-,,"Lascelles, Richard",71.5,0.0,B-
Rep. Joseph Stallcop (L),"Stallcop, Joseph",Joseph,Stallcop,L,Cheshire,4,Cheshire-4,408480,85,85,38,4,43,0,256,181,50.6,70.7,Inc,2.00000005960464,0.8,71.5,Inc,,"Stallcop, Joseph",70.7,2.0,Inc
Rep. Joseph Hagan (R),"Hagan, Joseph",Joseph,Hagan,R,Rockingham,4,Rockingham-4,376819,85,85,53,29,3,0,256,167,3.5,65.2,C+,16,6.3,71.4,B-,,"Hagan, Joseph",65.2,16.0,B-
Rep. Mark McConkey (R),"McConkey, Mark",Mark,McConkey,R,Carroll,3,Carroll-3,376495,85,85,58,25,2,0,256,182.5,2.4,71.3,B-,0,0.0,71.3,B-,,"McConkey, Mark",71.3,0.0,B-
Rep. Craig Moore (R),"Moore, Craig",Craig,Moore,R,Hillsborough,25,Hillsborough-25,408343,85,85,56,27,2,0,256,181,2.4,70.7,B-,0,0.0,70.7,B-,,"Moore, Craig",70.7,0.0,B-
Rep. Reed Panasiti (R),"Panasiti, Reed",Reed,Panasiti,R,Hillsborough,22,Hillsborough-22,407523,85,85,57,23,5,0,256,181,5.9,70.7,B-,0,0.0,70.7,B-,,"Panasiti, Reed",70.7,0.0,B-
Rep. David Binford (R),"Binford, David",David,Binford,R,Grafton,15,Grafton-15,408297,85,85,44,8,33,0,256,180.5,38.8,70.5,B-,0.33333334326744,0.1,70.6,B-,,"Binford, David",70.5,0.3,B-
Rep. Brian Stone (R),"Stone, Brian",Brian,Stone,R,Rockingham,1,Rockingham-1,408385,85,85,47,19,19,0,256,171,22.4,66.8,C+,9.66666659712791,3.8,70.6,B-,,"Stone, Brian",66.8,9.7,B-
Rep. Barbara Biggie (R),"Biggie, Barbara",Barbara,Biggie,R,Hillsborough,23,Hillsborough-23,377207,85,85,50,17,18,0,256,180.5,21.2,70.5,B-,0,0.0,70.5,B-,,"Biggie, Barbara",70.5,0.0,B-
Rep. Peter Hansen (R),"Hansen, Peter",Peter,Hansen,R,Hillsborough,22,Hillsborough-22,376944,85,85,54,20,11,0,256,180.5,12.9,70.5,B-,0,0.0,70.5,B-,,"Hansen, Peter",70.5,0.0,B-
Rep. Steve Hellwig (R),"Hellwig, Steve",Steve,Hellwig,R,Hillsborough,37,Hillsborough-37,376647,85,85,38,0,47,0,256,180,55.3,70.3,Inc,0.5,0.2,70.5,Inc,,"Hellwig, Steve",70.3,0.5,Inc
Rep. Michael Brewster (R),"Brewster, Michael",Michael,Brewster,R,Merrimack,21,Merrimack-21,377208,85,85,38,4,43,0,256,180,50.6,70.3,Inc,0,0.0,70.3,Inc,,"Brewster, Michael",70.3,0.0,Inc
Rep. Timothy Twombly (R),"Twombly, Timothy",Timothy,Twombly,R,Hillsborough,34,Hillsborough-34,377045,85,85,53,20,12,0,256,178,14.1,69.5,B-,1.33333337306976,0.5,70,B-,,"Twombly, Timothy",69.5,1.3,B-
Rep. Neal Kurk (R),"Kurk, Neal",Neal,Kurk,R,Hillsborough,2,Hillsborough-2,372821,85,85,51,28,6,0,256,164,7.1,64.1,C+,14,5.5,69.6,B-,,"Kurk, Neal",64.1,14.0,B-
Rep. Kenneth Weyler (R),"Weyler, Kenneth",Kenneth,Weyler,R,Rockingham,13,Rockingham-13,374470,85,85,55,26,4,0,256,176,4.7,68.8,B-,1.66666674613952,0.7,69.5,B-,,"Weyler, Kenneth",68.8,1.7,B-
Rep. Henry Marsh (R),"Marsh, Henry",Henry,Marsh,R,Rockingham,22,Rockingham-22,408424,85,85,53,18,14,0,256,179,16.5,69.9,B-,-2,-0.8,69.1,B-,,"Marsh, Henry",69.9,-2.0,B-
Rep. Sherman Packard (R),"Packard, Sherman",Sherman,Packard,R,Rockingham,5,Rockingham-5,375453,85,85,54,26,2,3,256,173,2.4,67.6,B-,3.33333337306976,1.3,68.9,B-,,"Packard, Sherman",67.6,3.3,B-
Rep. James Webb (R),"Webb, James",James,Webb,R,Rockingham,6,Rockingham-6,377050,85,85,54,29,2,0,256,175.5,2.4,68.6,B-,0,0.0,68.6,B-,,"Webb, James",68.6,0.0,B-
Rep. Stephen Darrow (R),"Darrow, Stephen",Stephen,Darrow,R,Grafton,17,Grafton-17,377217,85,85,56,28,1,0,256,178,1.2,69.5,B-,-2.5,-1.0,68.5,B-,,"Darrow, Stephen",69.5,-2.5,B-
Rep. Carolyn Matthews (R),"Matthews, Carolyn",Carolyn,Matthews,R,Rockingham,3,Rockingham-3,377249,85,85,55,30,0,0,256,175,0,68.4,B-,0,0.0,68.4,B-,,"Matthews, Carolyn",68.4,0.0,B-
